t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
2.949999999999999845e-01,1.343581217650173798e-01,6.717906088250868797e+09,1.076327216400188316e-09,-1.782157274162008898e-08,-8.910786370810092194e+02,1.010859675963632631e-01,3.327215416865411668e-02,2.665393398593165835e-10
2.999999999999999889e-01,1.338101779770405064e-01,6.690508898852025032e+09,1.071937702730978371e-09,-1.731049667123569285e-08,-8.655248335617943667e+02,1.009490646841264966e-01,3.286111329291400984e-02,2.632465394256681201e-10
3.049999999999999933e-01,1.332776855444479658e-01,6.663884277222398758e+09,1.067671968064570436e-09,-1.682324589965691374e-08,-8.411622949828597484e+02,1.008061617705952595e-01,3.247152377385270627e-02,2.601255833042114906e-10
3.099999999999999978e-01,1.327601535575945735e-01,6.638007677879728317e+09,1.063526079781149784e-09,-1.634913123574555650e-08,-8.174565617872867733e+02,1.006585648240450048e-01,3.210158873354956865e-02,2.571620769158538605e-10
3.150000000000000022e-01,1.322572530347733977e-01,6.612862651738670349e+09,1.059497402446697588e-09,-1.589013659839186085e-08,-7.945068299195700092e+02,1.005073539759328838e-01,3.174989905884051389e-02,2.543447320196642953e-10
3.200000000000000067e-01,1.317683692398617379e-01,6.588418461993086815e+09,1.055581011481953976e-09,-1.545280835486997664e-08,-7.726404177435033489e+02,1.003536270327686497e-01,3.141474220709308818e-02,2.516598296366906480e-10
3.250000000000000111e-01,1.312927645990451531e-01,6.564638229952258110e+09,1.051770998269262590e-09,-1.503433755258714804e-08,-7.517168776293547126e+02,1.001982924728601759e-01,3.109447212618497713e-02,2.490941834356893222e-10
3.300000000000000155e-01,1.308299996972319412e-01,6.541499984861597061e+09,1.048063842705660367e-09,-1.462744597568810874e-08,-7.313722987844230374e+02,1.000420520604580338e-01,3.078794763677390744e-02,2.466386515622733500e-10
3.350000000000000200e-01,1.303797912311107088e-01,6.518989561555535316e+09,1.044457275281418311e-09,-1.423190912995585003e-08,-7.115954564977728296e+02,9.988550693040459949e-02,3.049428430070610929e-02,2.442861488857218033e-10
3.400000000000000244e-01,1.299417137974167580e-01,6.497085689870838165e+09,1.040947888140682566e-09,-1.385185751124510002e-08,-6.925928755622589961e+02,9.972922689814893438e-02,3.021248689926782360e-02,2.420287028251900836e-10
3.450000000000000289e-01,1.295152262875649551e-01,6.475761314378248215e+09,1.037531346525795777e-09,-1.348673877715603398e-08,-6.743369388577848440e+02,9.957370371683768595e-02,2.994152257072726919e-02,2.398580392460141624e-10
3.500000000000000333e-01,1.290999377727917452e-01,6.454996888639587402e+09,1.034204518752104657e-09,-1.313195586387779580e-08,-6.565977931938978145e+02,9.941926243884244285e-02,2.968067533394930235e-02,2.377684225069685837e-10
3.549999999999999822e-01,1.286955940706668577e-01,6.434779703533343315e+09,1.030965368593856921e-09,-1.278637862003154609e-08,-6.393189310016168747e+02,9.926625185248301453e-02,2.942934221818384322e-02,2.357550222798193854e-10
3.599999999999999867e-01,1.283018747909275559e-01,6.415093739546378136e+09,1.027811329442088722e-09,-1.245238091278974281e-08,-6.226190456394979265e+02,9.911496464548803786e-02,2.918691014543951801e-02,2.338129272684037022e-10
3.649999999999999911e-01,1.279183775860086858e-01,6.395918879300434113e+09,1.024739178137462010e-09,-1.213025841687078509e-08,-6.065129208435246255e+02,9.896505665930846463e-02,2.895332092670022117e-02,2.319416713273115856e-10
3.699999999999999956e-01,1.275447636110830230e-01,6.377238180554151535e+09,1.021746200233653440e-09,-1.181734072441544705e-08,-5.908670362207485596e+02,9.881622161931868931e-02,2.872854199176433365e-02,2.301409935404631823e-10
3.750000000000000000e-01,1.271807971923343550e-01,6.359039859616717339e+09,1.018830507775254402e-09,-1.151232852838471392e-08,-5.756164264192484552e+02,9.866971912852383342e-02,2.851107806381052157e-02,2.283989154199358752e-10
3.800000000000000044e-01,1.268262205813021626e-01,6.341311029065108299e+09,1.015990035969461028e-09,-1.121642485582034711e-08,-5.608212427910184488e+02,9.852567479229377978e-02,2.830054578900838280e-02,2.267123659629816196e-10
