t,S10,S11,T1
5.000000000000000000e-01,1.258998748648233919e-02,2.289672926169787105e-03,7.741823421782385861e-02
5.050000000000000044e-01,1.233214619118334389e-02,2.248056059430794500e-03,7.770984936275913968e-02
5.100000000000000089e-01,1.208068813054944020e-02,2.207481011770295962e-03,7.799401887859294669e-02
5.150000000000000133e-01,1.183545452173752691e-02,2.167921165838904846e-03,7.827092829746333524e-02
5.200000000000000178e-01,1.159629202520264836e-02,2.129350416382049405e-03,7.854075846384571402e-02
5.250000000000000222e-01,1.136304894695041624e-02,2.091743782841636208e-03,7.880368568336285073e-02
5.300000000000000266e-01,1.113557618255476070e-02,2.055077106426564815e-03,7.905988183682707837e-02
5.350000000000000311e-01,1.091373033437068041e-02,2.019326344390460701e-03,7.930951447484546613e-02
5.400000000000000355e-01,1.069737290352076355e-02,1.984467955219248059e-03,7.955274692675885773e-02
5.450000000000000400e-01,1.048636722865721981e-02,1.950479514800459177e-03,7.978973842631643942e-02
5.500000000000000444e-01,1.028057885838143740e-02,1.917339372117690286e-03,8.002064422079291361e-02
5.550000000000000488e-01,1.007987813484273118e-02,1.885025933448770561e-03,8.024561566201275642e-02
5.600000000000000533e-01,9.884139908181403464e-03,1.853517905052288594e-03,8.046480029903835263e-02
5.650000000000000577e-01,9.693241027248672079e-03,1.822795011055900654e-03,8.067834198442799809e-02
5.700000000000000622e-01,9.507060189340011888e-03,1.792837817365934517e-03,8.088638097684136552e-02
5.750000000000000666e-01,9.325480054035384381e-03,1.763627015101543313e-03,8.108905402443618293e-02
5.799999999999999600e-01,9.148387436590934424e-03,1.735143409071925611e-03,8.128649444760401022e-02
5.849999999999999645e-01,8.975671309369196230e-03,1.707368589747420510e-03,8.147883223167912137e-02
5.899999999999999689e-01,8.807222246101325050e-03,1.680285018691293850e-03,8.166619411838300924e-02
5.949999999999999734e-01,8.642934026574192186e-03,1.653875429275825570e-03,8.184870368311224220e-02
5.999999999999999778e-01,8.482704191858713577e-03,1.628122602007570389e-03,8.202648140982260472e-02
6.049999999999999822e-01,8.326432564736882189e-03,1.603009841293443405e-03,8.219964477381702661e-02
6.099999999999999867e-01,8.174020450530615142e-03,1.578521242463094137e-03,8.236830832079161668e-02
6.149999999999999911e-01,8.025371727542408157e-03,1.554641304285378847e-03,8.253258373852602470e-02
6.199999999999999956e-01,7.880393586826586749e-03,1.531354613709644047e-03,8.269257992658428369e-02
6.250000000000000000e-01,7.738995552162514745e-03,1.508646092755805412e-03,8.284840306848556546e-02
6.300000000000000044e-01,7.601088600150422182e-03,1.486501299525017084e-03,8.300015670144672564e-02
6.350000000000000089e-01,7.466585797865590846e-03,1.464906249769259506e-03,8.314794178202364328e-02
6.400000000000000133e-01,7.335403062576439578e-03,1.443847127213929117e-03,8.329185675135009070e-02
6.450000000000000178e-01,7.207458603684676821e-03,1.423310362760085105e-03,8.343199759741927457e-02
6.500000000000000222e-01,7.082672090653721435e-03,1.403282869275221520e-03,8.356845791728481632e-02
6.550000000000000266e-01,6.960964939306900530e-03,1.383751994080957646e-03,8.370132897820026230e-02
6.600000000000000311e-01,6.842260987428302500e-03,1.364705309791485778e-03,8.383069977598245348e-02
6.650000000000000355e-01,6.726486246023671324e-03,1.346130614781450210e-03,8.395665709052485548e-02
6.700000000000000400e-01,6.613568189584918301e-03,1.328016083910919668e-03,8.407928554151573863e-02
6.750000000000000444e-01,6.503435799862592077e-03,1.310350268064278947e-03,8.419866764495749500e-02
6.800000000000000488e-01,6.396020112059186240e-03,1.293121957029101741e-03,8.431488386458584061e-02
6.850000000000000533e-01,6.291254168649586080e-03,1.276320161872313572e-03,8.442801266197953736e-02
6.900000000000000577e-01,6.189072456152300283e-03,1.259934213368965822e-03,8.453813054779649172e-02
6.950000000000000622e-01,6.089410799244099684e-03,1.243953766532569522e-03,8.464531213174771029e-02
7.000000000000000666e-01,5.992206769354965074e-03,1.228368700043672634e-03,8.474963016905436020e-02
7.049999999999999600e-01,5.897399760165932155e-03,1.213169097488543116e-03,8.485115560588631090e-02
7.099999999999999645e-01,5.804930567094336580e-03,1.198345327405140074e-03,8.494995762632653880e-02
7.149999999999999689e-01,5.714741198333867303e-03,1.183888052314969108e-03,8.504610369610038356e-02
7.199999999999999734e-01,5.626775155439380643e-03,1.169788140356640537e-03,8.513965960470792904e-02
7.249999999999999778e-01,5.540977573992263323e-03,1.156036635875280208e-03,8.523068950770910923e-02
7.299999999999999822e-01,5.457294932553271270e-03,1.142624831800081791e-03,8.531925596803340006e-02
7.349999999999999867e-01,5.375674826259832680e-03,1.129544296607781859e-03,8.540541999527082040e-02
7.399999999999999911e-01,5.296066134100487106e-03,1.116786797962246230e-03,8.548924108400358934e-02
7.449999999999999956e-01,5.218419185348670622e-03,1.104344253285524224e-03,8.557077725273683211e-02
7.500000000000000000e-01,5.142685580450113460e-03,1.092208784923870152e-03,8.565008508011442978e-02
7.550000000000000044e-01,5.068817961674897468e-03,1.080372768243758989e-03,8.572721974034529235e-02
7.600000000000000089e-01,4.996770084115706792e-03,1.068828779970661591e-03,8.580223503891849790e-02
7.650000000000000133e-01,4.926496978270570280e-03,1.057569533923224817e-03,8.587518344691794092e-02
