t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
4.199999999999999845e-01,1.241226208732597175e-01,6.206131043662985802e+09,9.943318145698869034e-10,-9.273458240604076316e-09,-4.636729120302043157e+02,9.732944841333829311e-02,2.679317245992142438e-02,2.146369743300919999e-10
4.249999999999999889e-01,1.238368351318511196e-01,6.191841756592556000e+09,9.920424183838107250e-10,-9.044980229304464269e-09,-4.522490114652318880e+02,9.720635885185878455e-02,2.663047627999233502e-02,2.133336342404748125e-10
4.299999999999999933e-01,1.235580776114644647e-01,6.177903880573223114e+09,9.898093244552344711e-10,-8.822663062391567537e-09,-4.411331531195755815e+02,9.708599428056793879e-02,2.647208333089652588e-02,2.120647668303164937e-10
4.349999999999999978e-01,1.232861678162028296e-01,6.164308390810141563e+09,9.876310868526149165e-10,-8.605980790703877861e-09,-4.302990395351953339e+02,9.696832509519955068e-02,2.631784272100327893e-02,2.108291633243921626e-10
4.400000000000000022e-01,1.230209345394663312e-01,6.151046726973316193e+09,9.855063340598825073e-10,-8.394926406215626793e-09,-4.197463203107909067e+02,9.685331157495950805e-02,2.616762296450682312e-02,2.096257704052731911e-10
4.450000000000000067e-01,1.227621977227645739e-01,6.138109886138228416e+09,9.834336236495069873e-10,-8.189590299509067622e-09,-4.094795149754500017e+02,9.674092355911016738e-02,2.602127416365440649e-02,2.084533872595749228e-10
4.500000000000000111e-01,1.225097805177613325e-01,6.125489025888066292e+09,9.814115389101279801e-10,-7.989662274065291073e-09,-3.994831137032742845e+02,9.663113201897148563e-02,2.587864849878984685e-02,2.073108297213013258e-10
4.550000000000000155e-01,1.222635222269100180e-01,6.113176111345500946e+09,9.794387925124743268e-10,-7.794773886379475662e-09,-3.897386943189630983e+02,9.652389497420403586e-02,2.573962725270598217e-02,2.061971467607756805e-10
4.600000000000000200e-01,1.220232689983092450e-01,6.101163449915462494e+09,9.775141519669382489e-10,-7.604880087105965621e-09,-3.802440043552924180e+02,9.641916292209136430e-02,2.560410607621788071e-02,2.051115024488685296e-10
4.650000000000000244e-01,1.217888629461714584e-01,6.089443147308572769e+09,9.756363524689213655e-10,-7.420008187192453776e-09,-3.710004093596216990e+02,9.631689235075430178e-02,2.547197059541715658e-02,2.040529805495621750e-10
4.700000000000000289e-01,1.215601485139799071e-01,6.078007425698995590e+09,9.738041478733421858e-10,-7.239926808178593265e-09,-3.619963404089212418e+02,9.621704451142959469e-02,2.534310400255031237e-02,2.030206453295898998e-10
4.750000000000000333e-01,1.213369822574546647e-01,6.066849112872733116e+09,9.720163890648321648e-10,-7.064352389754345151e-09,-3.532176194877247326e+02,9.611957462189295309e-02,2.521740763556171161e-02,2.020137064187507655e-10
4.799999999999999822e-01,1.211192263185215112e-01,6.055961315926075935e+09,9.702719716784649454e-10,-6.893229365960787809e-09,-3.446614682980434736e+02,9.602443096985734117e-02,2.509479534866417005e-02,2.010314737132080682e-10
4.849999999999999867e-01,1.209067407210548117e-01,6.045337036052741051e+09,9.685697743818516783e-10,-6.726561501187674656e-09,-3.363280750593839912e+02,9.593156471612997171e-02,2.497517600492484002e-02,2.000732171256402333e-10
4.899999999999999911e-01,1.206993873720256932e-01,6.034969368601284981e+09,9.669086909278711164e-10,-6.564170636288515912e-09,-3.282085318144236226e+02,9.584093146669341035e-02,2.485845590533228289e-02,1.991381860442134982e-10
4.949999999999999956e-01,1.204970374151277668e-01,6.024851870756388664e+09,9.652876890637073691e-10,-6.405823095357385396e-09,-3.202911547678813804e+02,9.575248683341515410e-02,2.474455058171261268e-02,1.982257038042552804e-10
5.000000000000000000e-01,1.202995673422350559e-01,6.014978367111752510e+09,9.637057793801923194e-10,-6.251451866731137536e-09,-3.125725933365611127e+02,9.566579892802755392e-02,2.463376841420750196e-02,1.973382408030524575e-10
5.050000000000000044e-01,1.201068524795801951e-01,6.005342623979009628e+09,9.621619631303417358e-10,-6.101052699280582587e-09,-3.050526349640276749e+02,9.558083036170164637e-02,2.452602211787854869e-02,1.964750978111610029e-10
5.100000000000000089e-01,1.199187695843718093e-01,5.995938479218590736e+09,9.606552530305519554e-10,-5.954490494811983515e-09,-2.977245247405953705e+02,9.549794382251672320e-02,2.442082576185508613e-02,1.956323820931473281e-10
5.150000000000000133e-01,1.197352024150085958e-01,5.986760120750430107e+09,9.591847178829357837e-10,-5.811569834843240807e-09,-2.905784917421697173e+02,9.541709308882609375e-02,2.431810932618250209e-02,1.948095327273354521e-10
5.200000000000000178e-01,1.195560399257614564e-01,5.977801996288072586e+09,9.577494681131303432e-10,-5.672211458182458880e-09,-2.836105729091359535e+02,9.533822910978352605e-02,2.421781081597793039e-02,1.940060530799615596e-10
5.250000000000000222e-01,1.193811708221235307e-01,5.969058541106176376e+09,9.563486121538444385e-10,-5.536403532642067649e-09,-2.768201766321144532e+02,9.526130508178330680e-02,2.411986574034022390e-02,1.932214265219510847e-10
5.300000000000000266e-01,1.192104847968728093e-01,5.960524239843640327e+09,9.549812663468091605e-10,-5.404045096731947804e-09,-2.702022548366221599e+02,9.518627567073238704e-02,2.402420912614042225e-02,1.924551325611587149e-10
5.350000000000000311e-01,1.190438768570230565e-01,5.952193842851152420e+09,9.536465896054782942e-10,-5.274974855574464787e-09,-2.637487427787127672e+02,9.511309760122096946e-02,2.393077925580208709e-02,1.917066767852900635e-10
5.400000000000000355e-01,1.188812467625866287e-01,5.944062338129331589e+09,9.523437789190221018e-10,-5.149106830174453176e-09,-2.574553415086993482e+02,9.504172659768306275e-02,2.383952016490356596e-02,1.909756108699015782e-10
5.450000000000000400e-01,1.187224948869640279e-01,5.936124744348201752e+09,9.510720361903912479e-10,-5.026419452908059663e-09,-2.513209726454078918e+02,9.497211782973587202e-02,2.375037705722815584e-02,1.902614958489031390e-10
5.500000000000000444e-01,1.185675223363128888e-01,5.928376116815644264e+09,9.498305691925679860e-10,-4.906835695443129274e-09,-2.453417847721721046e+02,9.490422887540565788e-02,2.366329346090723096e-02,1.895638793327527748e-10
5.550000000000000488e-01,1.184162342917640665e-01,5.920811714588203430e+09,9.486186183426696436e-10,-4.790223738696738627e-09,-2.395111869348183973e+02,9.483801934091642960e-02,2.357821495084763685e-02,1.888823253283876943e-10
5.600000000000000533e-01,1.182685400869751685e-01,5.913427004348758698e+09,9.474354573232197854e-10,-4.676498073022725184e-09,-2.338249036511406302e+02,9.477344743532636895e-02,2.349509265164879956e-02,1.882164423006840285e-10
5.650000000000000577e-01,1.181243502401693735e-01,5.906217512008468628e+09,9.462803693061581701e-10,-4.565628690766766894e-09,-2.282814345383521868e+02,9.471047316880491784e-02,2.341387707136445562e-02,1.875658337754424007e-10
5.700000000000000622e-01,1.179835759579347665e-01,5.899178797896738052e+09,9.451526429778361042e-10,-4.457553703992156566e-09,-2.228776851995789912e+02,9.464905724219048466e-02,2.333451871574428182e-02,1.869301032600058554e-10
5.750000000000000666e-01,1.178461316212357640e-01,5.892306581061788559e+09,9.440515924541624823e-10,-4.352164594805194302e-09,-2.176082297402463155e+02,9.458916236333697602e-02,2.325696925789878799e-02,1.863088636133087713e-10
5.799999999999999600e-01,1.177119352098145444e-01,5.885596760490727425e+09,9.429765606804337717e-10,-4.249380586047778600e-09,-2.124690293024032144e+02,9.453075144306473387e-02,2.318118376674981052e-02,1.857017548977332578e-10
5.849999999999999645e-01,1.175809061463491956e-01,5.879045307317460060e+09,9.419269021611383051e-10,-4.149167002416416180e-09,-2.074583501208253438e+02,9.447378712403173284e-02,2.310711902231746273e-02,1.851084308830698004e-10
5.899999999999999689e-01,1.174529645748441931e-01,5.872648228742209435e+09,9.409019771792254561e-10,-4.051471979912222489e-09,-2.025735989956010599e+02,9.441823278073253889e-02,2.303473179411165417e-02,1.845285452549129361e-10
5.949999999999999734e-01,1.173280331550737438e-01,5.866401657753686905e+09,9.399011661711822303e-10,-3.956204582174464455e-09,-1.978102291087125195e+02,9.436405423542708337e-02,2.296397891964666038e-02,1.839617522436322011e-10
5.999999999999999778e-01,1.172060377068435411e-01,5.860301885342177391e+09,9.389238748881383959e-10,-3.863289506670123950e-09,-1.931644753335131099e+02,9.431121785072443808e-02,2.289481985611910297e-02,1.834077270655663448e-10
6.049999999999999822e-01,1.170869055899422251e-01,5.854345279497111320e+09,9.379695214178470757e-10,-3.772690466155586650e-09,-1.886345233077736339e+02,9.425969049556708057e-02,2.282721509437514451e-02,1.828661532174997814e-10
6.099999999999999867e-01,1.169705648890471406e-01,5.848528244452357292e+09,9.370375296550605778e-10,-3.684363701373761940e-09,-1.842181850686902180e+02,9.420943907663413552e-02,2.276112581241300503e-02,1.823367197009119186e-10
6.149999999999999911e-01,1.168569456951848301e-01,5.842847284759241104e+09,9.361273395671600557e-10,-3.598232250588342742e-09,-1.799116125294240192e+02,9.416043234557781860e-02,2.269651334960701150e-02,1.818191168100470967e-10
6.199999999999999956e-01,1.167459808966064966e-01,5.837299044830325127e+09,9.352384135297665321e-10,-3.514225526612119172e-09,-1.757112763305922272e+02,9.411263998808440390e-02,2.263334090852209268e-02,1.813130497649521133e-10
