t,S10,S11,T1
5.300000000000000266e-01,1.113980291180875944e-02,2.056095676577554369e-03,7.928028131177594640e-02
5.350000000000000311e-01,1.091804587695253785e-02,2.020368275406597084e-03,7.953374987872920132e-02
5.400000000000000355e-01,1.070177770253064563e-02,1.985533400627608174e-03,7.978082979730921620e-02
5.450000000000000400e-01,1.049086171308456945e-02,1.951568625906461739e-03,8.002167999865533732e-02
5.500000000000000444e-01,1.028516344306978914e-02,1.918452297837277372e-03,8.025645543504984769e-02
5.550000000000000488e-01,1.008455322680542124e-02,1.886162818462516766e-03,8.048530717073101859e-02
5.600000000000000533e-01,9.888905908036755080e-03,1.854678889714821144e-03,8.070838247435649371e-02
5.650000000000000577e-01,9.698098324083043870e-03,1.823980233227049655e-03,8.092582492508754166e-02
5.700000000000000622e-01,9.512009158993519828e-03,1.794047412957792097e-03,8.113777451504480820e-02
5.750000000000000666e-01,9.330521063915939856e-03,1.764861116588688520e-03,8.134436773253334030e-02
5.799999999999999600e-01,9.153520848381464098e-03,1.736402144776626839e-03,8.154573764457977159e-02
5.849999999999999645e-01,8.980897475464726457e-03,1.708652085160607690e-03,8.174201398947406050e-02
5.899999999999999689e-01,8.812541506953534831e-03,1.681593397486146535e-03,8.193332326807564736e-02
5.949999999999999734e-01,8.648346713857904544e-03,1.655208812420160469e-03,8.211978882095447019e-02
5.999999999999999778e-01,8.488210631729498079e-03,1.629481106767005508e-03,8.230153090310160513e-02
6.049999999999999822e-01,8.332033075838534211e-03,1.604393581910643768e-03,8.247866676655674079e-02
6.099999999999999867e-01,8.179715341082515259e-03,1.579930331263573219e-03,8.265131073933115746e-02
6.149999999999999911e-01,8.031161296999359336e-03,1.556075851389302021e-03,8.281957429696849837e-02
6.199999999999999956e-01,7.886278129079441618e-03,1.532814726106426252e-03,8.298356613209140198e-02
6.250000000000000000e-01,7.744975354867240057e-03,1.510131874462841174e-03,8.314339222642497251e-02
6.300000000000000044e-01,7.607163942067720827e-03,1.488012852494830732e-03,8.329915592042733130e-02
6.350000000000000089e-01,7.472756949348437205e-03,1.466443673997591462e-03,8.345095797881450783e-02
6.400000000000000133e-01,7.341670288318120907e-03,1.445410520078423957e-03,8.359889665566229422e-02
6.450000000000000178e-01,7.213822162991997446e-03,1.424899818906051998e-03,8.374306775655747381e-02
6.500000000000000222e-01,7.089132235319359210e-03,1.404898481231218414e-03,8.388356470069199822e-02
6.550000000000000266e-01,6.967521913321198142e-03,1.385393852518721370e-03,8.402047858189810869e-02
6.600000000000000311e-01,6.848915029103288046e-03,1.366373503128022471e-03,8.415389822689170463e-02
6.650000000000000355e-01,6.733237588829989531e-03,1.347825228999664695e-03,8.428391025067014097e-02
6.700000000000000400e-01,6.620417060638475112e-03,1.329737202952257103e-03,8.441059911212943356e-02
6.750000000000000444e-01,6.510382419208936983e-03,1.312097974090453397e-03,8.453404717048523809e-02
6.800000000000000488e-01,6.403064694167826497e-03,1.294896330183409067e-03,8.465433473659428332e-02
6.850000000000000533e-01,6.298396923513002559e-03,1.278121280118357881e-03,8.477154012295662344e-02
6.900000000000000577e-01,6.196313588344362980e-03,1.261762152771422505e-03,8.488573969485677106e-02
6.950000000000000622e-01,6.096750507030674997e-03,1.245808601494681261e-03,8.499700792024954266e-02
7.000000000000000666e-01,5.999645245635798659e-03,1.230250503136820625e-03,8.510541741613120159e-02
