t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
2.600000000000000089e-01,1.320343907688815432e-01,6.601719538444077492e+09,1.057712078871636538e-09,-2.668619829936876877e-08,-1.334309914968442172e+03,9.702693177366497612e-02,3.500745899521656712e-02,2.804406640892454842e-10
2.650000000000000133e-01,1.312150422366844815e-01,6.560752111834223747e+09,1.051148373504694785e-09,-2.583466863915476268e-08,-1.291733431957734865e+03,9.687919226392933958e-02,3.433584997275514195e-02,2.750604826743891203e-10
2.700000000000000178e-01,1.304219175814118337e-01,6.521095879070591927e+09,1.044794744552059169e-09,-2.500634478694136893e-08,-1.250317239347074064e+03,9.671150104532949543e-02,3.371041653608233823e-02,2.700502084825916752e-10
2.750000000000000222e-01,1.296542689576165586e-01,6.482713447880827904e+09,1.038645201111223936e-09,-2.421584801606272363e-08,-1.210792400803140481e+03,9.652744857859685279e-02,3.312682037901970578e-02,2.653750878499019519e-10
2.800000000000000266e-01,1.289104832300316528e-01,6.445524161501583099e+09,1.032686820544027774e-09,-2.347397619668137585e-08,-1.173698809834051644e+03,9.633026963655415276e-02,3.258021359347750001e-02,2.609962847509941025e-10
2.850000000000000311e-01,1.281891386031639435e-01,6.409456930158197403e+09,1.026908213012883384e-09,-2.276575095082251468e-08,-1.138287547541112872e+03,9.612260854588841608e-02,3.206653005727552741e-02,2.568812259561276514e-10
2.899999999999999800e-01,1.274895568185669403e-01,6.374477840928346634e+09,1.021303945068616571e-09,-2.207709631245488729e-08,-1.103854815622747992e+03,9.590663389691329865e-02,3.158292292165364168e-02,2.530071056924823825e-10
2.949999999999999845e-01,1.268111946334446460e-01,6.340559731672232628e+09,1.015869664856655995e-09,-2.141391400602938046e-08,-1.070695700301483157e+03,9.568428180507877745e-02,3.112691282836586859e-02,2.493540621108132017e-10
2.999999999999999889e-01,1.261530054326833739e-01,6.307650271634168625e+09,1.010596988065601780e-09,-2.078483902174464151e-08,-1.039241951087271445e+03,9.545734109370604403e-02,3.069566433897732982e-02,2.458993808450826907e-10
3.049999999999999933e-01,1.255139070197903717e-01,6.275695350989518166e+09,1.005477245345783371e-09,-2.018290173666153768e-08,-1.009145086833086680e+03,9.522731151413640904e-02,3.028659550565396263e-02,2.426223782128409654e-10
3.099999999999999978e-01,1.248932877893001309e-01,6.244664389465006828e+09,1.000505537197270834e-09,-1.959801543966292273e-08,-9.799007719831133727e+02,9.499535941869820255e-02,2.989792837060192832e-02,2.395088112019205266e-10
3.150000000000000022e-01,1.242906951077095978e-01,6.214534755385479927e+09,9.956782376259521814e-10,-1.903174237318524495e-08,-9.515871186592557933e+02,9.476253631547811029e-02,2.952815879223148754e-02,2.365466303097747512e-10
3.200000000000000067e-01,1.237054198620497758e-01,6.185270993102488518e+09,9.909896660106781866e-10,-1.848999857600299248e-08,-9.244999288001272362e+02,9.452980418104656168e-02,2.917561568100321412e-02,2.337224486333366905e-10
3.250000000000000111e-01,1.231366401687207235e-01,6.156832008436036110e+09,9.864332383379507861e-10,-1.797017158041109574e-08,-8.985085790205193916e+02,9.429793467671095109e-02,2.883870549200977240e-02,2.310235004705276537e-10
3.300000000000000155e-01,1.225838099721622831e-01,6.129190498608114243e+09,9.820045802204730523e-10,-1.746543533356741874e-08,-8.732717666784010362e+02,9.406756944389298158e-02,2.851624052826930156e-02,2.284402713195844315e-10
3.350000000000000200e-01,1.220465334374820077e-01,6.102326671874100685e+09,9.777005206711667855e-10,-1.697535190303628503e-08,-8.487675951518467627e+02,9.383923958106610286e-02,2.820729385641590481e-02,2.259653356256065698e-10
3.400000000000000244e-01,1.215242918427126145e-01,6.076214592135630608e+09,9.735169042689546600e-10,-1.650355434772496824e-08,-8.251777173862647032e+02,9.361343089216883628e-02,2.791086095054377825e-02,2.235906462489213663e-10
3.450000000000000289e-01,1.210164625952601658e-01,6.050823129763008118e+09,9.694487434973040880e-10,-1.604949103307959591e-08,-8.024745516539987875e+02,9.339054996357863681e-02,2.762591263168152900e-02,2.213079585570279547e-10
3.500000000000000333e-01,1.205225614034781817e-01,6.026128070173909187e+09,9.654921587524148173e-10,-1.560886576901208503e-08,-7.804432884506095434e+02,9.317086401370383575e-02,2.735169738977434595e-02,2.191112522906762357e-10
3.549999999999999822e-01,1.200422338218668922e-01,6.002111691093344688e+09,9.616443106127981133e-10,-1.518045935777298408e-08,-7.590229678886535112e+02,9.295329969480614629e-02,2.708893412706074588e-02,2.170062864917095765e-10
3.599999999999999867e-01,1.195750716551179649e-01,5.978753582755898476e+09,9.579019290735284378e-10,-1.476627803980008364e-08,-7.383139019900263520e+02,9.273912674743615969e-02,2.683594490768180518e-02,2.149796194119953568e-10
3.649999999999999911e-01,1.191205952380526290e-01,5.956029761902631760e+09,9.542611715928979954e-10,-1.436652537675923221e-08,-7.183262688379472820e+02,9.252885793288742611e-02,2.659173730516520284e-02,2.130233008390090854e-10
3.699999999999999956e-01,1.186783836700428391e-01,5.933919183502141953e+09,9.507186663851490384e-10,-1.397869956599558357e-08,-6.989349782998033334e+02,9.232260883459397771e-02,2.635577483544886135e-02,2.111330330616067948e-10
3.750000000000000000e-01,1.182481134361493963e-01,5.912405671807469368e+09,9.472718218098999439e-10,-1.360147163410845700e-08,-6.800735817054082872e+02,9.212045096377542708e-02,2.612766247237396922e-02,2.093056515713811884e-10
