t,S10,S11,T1
5.350000000000000311e-01,8.882813798658633839e-03,1.634139053802762540e-03,7.471363819827717134e-02
5.400000000000000355e-01,8.684217322605521441e-03,1.601540048395578598e-03,7.491132035331646288e-02
5.450000000000000400e-01,8.490908350253352499e-03,1.569802022633406784e-03,7.510340846695003070e-02
5.500000000000000444e-01,8.302742037381214552e-03,1.538901549292727260e-03,7.529005512113130794e-02
5.550000000000000488e-01,8.119578447441334543e-03,1.508815524784322491e-03,7.547140870676635749e-02
5.600000000000000533e-01,7.941282433146280156e-03,1.479521290913336741e-03,7.564761353922050402e-02
5.650000000000000577e-01,7.767721818502584287e-03,1.450997133079625322e-03,7.581880997809785361e-02
5.700000000000000622e-01,7.598767138985832587e-03,1.423222178883720582e-03,7.598513453991330435e-02
5.750000000000000666e-01,7.434293062372565250e-03,1.396175896303508560e-03,7.614672000186660517e-02
5.799999999999999600e-01,7.274178562629511624e-03,1.369838052295230604e-03,7.630369550068448470e-02
5.849999999999999645e-01,7.118305510159152021e-03,1.344189166527775051e-03,7.645618663596256970e-02
5.899999999999999689e-01,6.966558180267688229e-03,1.319210579044451841e-03,7.660431557239905098e-02
5.949999999999999734e-01,6.818824294059755084e-03,1.294884039191663856e-03,7.674820113411755240e-02
5.999999999999999778e-01,6.674995408880480229e-03,1.271191532888166394e-03,7.688795889197677647e-02
6.049999999999999822e-01,6.534965892611176164e-03,1.248115595294298176e-03,7.702370125389386424e-02
6.099999999999999867e-01,6.398632303361267981e-03,1.225639493365371282e-03,7.715553755762689925e-02
6.149999999999999911e-01,6.265894071395398425e-03,1.203746962276943354e-03,7.728357415366880756e-02
6.199999999999999956e-01,6.136653991051359627e-03,1.182421982651568745e-03,7.740791448386023788e-02
6.250000000000000000e-01,6.010817543929869791e-03,1.161648936219050353e-03,7.752865916319703898e-02
6.300000000000000044e-01,5.888292255851156065e-03,1.141412805501470715e-03,7.764590606008475726e-02
6.350000000000000089e-01,5.768988073764393966e-03,1.121699051106916532e-03,7.775975037080531949e-02
6.400000000000000133e-01,5.652817854131388965e-03,1.102493411720891934e-03,7.787028469101604788e-02
6.450000000000000178e-01,5.539696972750832345e-03,1.083781949459891591e-03,7.797759908907933579e-02
6.500000000000000222e-01,5.429542736217032525e-03,1.065551202759757203e-03,7.808178117549742503e-02
6.550000000000000266e-01,5.322274530414056529e-03,1.047788151145454026e-03,7.818291616976674741e-02
6.600000000000000311e-01,5.217814239864891276e-03,1.030480070105149401e-03,7.828108696681411460e-02
6.650000000000000355e-01,5.116086066487775946e-03,1.013614525945701192e-03,7.837637420021356660e-02
6.700000000000000400e-01,5.017016036242994727e-03,9.971794724695946452e-04,7.846885630389287269e-02
6.750000000000000444e-01,4.920531993561912988e-03,9.811632479398981702e-04,7.855860957306071146e-02
6.800000000000000488e-01,4.826563929553955370e-03,9.655544786474262514e-04,7.864570822357393187e-02
6.850000000000000533e-01,4.735043934567145438e-03,9.503420615031468299e-04,7.873022444760499616e-02
6.900000000000000577e-01,4.645905811451602613e-03,9.355152258110155470e-04,7.881222846870637733e-02
6.950000000000000622e-01,4.559084976740367980e-03,9.210635348570499941e-04,7.889178859765486052e-02
7.000000000000000666e-01,4.474518698342476973e-03,9.069768161969454096e-04,7.896897128401914046e-02
7.049999999999999600e-01,4.392146126304809911e-03,8.932451429057568660e-04,7.904384116603119237e-02
7.099999999999999645e-01,4.311908004982272988e-03,8.798588812977154328e-04,7.911646112105927275e-02
7.149999999999999689e-01,4.233746527391713671e-03,8.668086960876604389e-04,7.918689231439271503e-02
7.199999999999999734e-01,4.157605489908976215e-03,8.540854919472187258e-04,7.925519424526107637e-02
7.249999999999999778e-01,4.083430363788781957e-03,8.416803890464298697e-04,7.932142479192075268e-02
7.299999999999999822e-01,4.011168094223341654e-03,8.295847634739099245e-04,7.938564025723927886e-02
7.349999999999999867e-01,3.940766938104346001e-03,8.177902627889949800e-04,7.944789541120857168e-02
7.399999999999999911e-01,3.872176547457072907e-03,8.062887576606165944e-04,7.950824353220090068e-02
7.449999999999999956e-01,3.805348054980915717e-03,7.950723072874551047e-04,7.956673644864419026e-02
7.500000000000000000e-01,3.740233947549760369e-03,7.841331882571166102e-04,7.962342457846303956e-02
7.550000000000000044e-01,3.676787907726247837e-03,7.734639212117109218e-04,7.967835696710358351e-02
7.600000000000000089e-01,3.614964838836751387e-03,7.630572384343247295e-04,7.973158132515011098e-02
7.650000000000000133e-01,3.554720946902815201e-03,7.529060427605843708e-04,7.978314406546209436e-02
7.700000000000000178e-01,3.496013672517631933e-03,7.430034192365255960e-04,7.983309033794239173e-02
7.750000000000000222e-01,3.438801551127387661e-03,7.333426655894315516e-04,7.988146406362152396e-02
7.800000000000000266e-01,3.383044194853959772e-03,7.239172788247690742e-04,7.992830796922283099e-02
7.850000000000000311e-01,3.328702358582542788e-03,7.147209166462384746e-04,7.997366361933772039e-02
7.900000000000000355e-01,3.275737913117588839e-03,7.057473923769660464e-04,8.001757144758729623e-02
7.950000000000000400e-01,3.224113732274400210e-03,6.969906995844146833e-04,8.006007078796269216e-02
8.000000000000000444e-01,3.173793649127300796e-03,6.884450139557470255e-04,8.010119990509424748e-02
8.050000000000000488e-01,3.124742498990919562e-03,6.801046648639020578e-04,8.014099602291872848e-02
8.100000000000000533e-01,3.076926117173122560e-03,6.719641202001081599e-04,8.017949535283545870e-02
8.150000000000000577e-01,3.030311255620839975e-03,6.640179998925229820e-04,8.021673312209710860e-02
8.200000000000000622e-01,2.984865528309827050e-03,6.562610847137775481e-04,8.025274360022273401e-02
8.250000000000000666e-01,2.940557431157022304e-03,6.486883001315043055e-04,8.028756012468245273e-02
8.300000000000000711e-01,2.897356349965637436e-03,6.412946992421221471e-04,8.032121512691993426e-02
8.349999999999999645e-01,2.855232504414538866e-03,6.340754661643905124e-04,8.035374015695796734e-02
8.399999999999999689e-01,2.814156892991389984e-03,6.270259242549522166e-04,8.038516590705389875e-02
8.449999999999999734e-01,2.774101294099679243e-03,6.201415290043088340e-04,8.041552223511584663e-02
8.499999999999999778e-01,2.735038275735117864e-03,6.134178545722531297e-04,8.044483818790572338e-02
8.549999999999999822e-01,2.696941159931962647e-03,6.068505914919981002e-04,8.047314202273600503e-02
8.599999999999999867e-01,2.659783973620817848e-03,6.004355510691332170e-04,8.050046122869781995e-02
8.649999999999999911e-01,2.623541437074070146e-03,5.941686622901676479e-04,8.052682254820062169e-02
8.699999999999999956e-01,2.588188971148471917e-03,5.880459630264131023e-04,8.055225199706826655e-02
8.750000000000000000e-01,2.553702675176340326e-03,5.820635964233311470e-04,8.057677488399553334e-02
8.800000000000000044e-01,2.520059285611595846e-03,5.762178120819851698e-04,8.060041583008127619e-02
8.850000000000000089e-01,2.487236158332877499e-03,5.705049636556291416e-04,8.062319878771659343e-02
8.900000000000000133e-01,2.455211271535372858e-03,5.649215028229326177e-04,8.064514705848097043e-02
8.950000000000000178e-01,2.423963211767478018e-03,5.594639763870981868e-04,8.066628331072119018e-02
9.000000000000000222e-01,2.393471140517965199e-03,5.541290264210263841e-04,8.068662959727586348e-02
9.050000000000000266e-01,2.363714774181125289e-03,5.489133877134258661e-04,8.070620737195854932e-02
9.100000000000000311e-01,2.334674382854756702e-03,5.438138824871030117e-04,8.072503750559213709e-02
9.150000000000000355e-01,2.306330780839061911e-03,5.388274179081584602e-04,8.074314030226198424e-02
9.200000000000000400e-01,2.278665300806885508e-03,5.339509866570397566e-04,8.076053551469009051e-02
